Customer ID,Product ID,Purchase Amount,Purchase Date,Category
C42,P25,142.8,2023-10-16,Sports
C195,P18,74.56,2023-11-11,Home & Garden
C70,P41,193.9,2023-08-11,Beauty
C494,P23,183.4,2023-02-27,Home & Garden
C105,P34,206.24,2023-05-27,Clothing
C126,P33,110.26,2023-03-09,Home & Garden
C439,P17,443.68,2023-06-21,Home & Garden
C199,P37,412.72,2023-01-06,Home & Garden
C348,P11,274.74,2023-03-22,Electronics
C492,P25,91.43,2023-05-29,Sports
C305,P7,113.87,2023-08-08,Electronics
C176,P47,485.98,2023-06-28,Sports
C307,P10,283.18,2023-09-24,Electronics
C410,P7,92.25,2023-05-09,Electronics
C439,P17,202.54,2023-04-19,Home & Garden
C422,P49,216.95,2023-11-08,Sports
C416,P47,483.27,2023-12-04,Sports
C69,P32,311.35,2023-11-01,Clothing
C253,P21,182.25,2023-02-03,Beauty
C344,P10,272.37,2023-06-20,Electronics
C303,P29,194.77,2023-10-25,Electronics
C79,P50,209.77,2023-03-06,Home & Garden
C15,P11,246.21,2023-12-06,Electronics
C236,P45,474.83,2023-10-15,Home & Garden
C100,P17,71.53,2023-09-13,Home & Garden
C387,P39,88.3,2023-11-14,Beauty
C455,P31,76.75,2023-03-26,Beauty
C219,P31,25.8,2023-07-03,Beauty
C146,P3,204.72,2023-08-21,Electronics
C483,P42,416.25,2023-01-26,Clothing
C314,P23,98.51,2023-01-14,Home & Garden
C359,P32,79.5,2023-01-16,Clothing
C190,P17,347.39,2023-06-10,Home & Garden
C343,P23,165.81,2023-06-04,Home & Garden
C480,P12,433.93,2023-06-15,Home & Garden
C456,P19,440.18,2023-05-15,Clothing
C196,P29,400.01,2023-10-02,Electronics
C474,P46,253.85,2023-04-13,Clothing
C363,P21,328.8,2023-08-24,Beauty
C389,P49,255.37,2023-09-09,Sports
C8,P32,413.33,2023-09-29,Clothing
C92,P33,222.95,2023-03-13,Home & Garden
C18,P45,246.53,2023-02-07,Home & Garden
C100,P49,333.27,2023-03-18,Sports
C316,P50,464.26,2023-11-27,Home & Garden
C167,P24,411.36,2023-05-31,Clothing
C403,P18,371.14,2023-08-19,Home & Garden
C349,P1,381.31,2023-12-02,Home & Garden
C193,P6,209.94,2023-11-01,Home & Garden
C155,P11,101.83,2023-09-10,Electronics
C335,P30,406.38,2023-10-01,Clothing
C194,P22,429.75,2023-12-21,Electronics
C71,P11,165.75,2023-07-15,Electronics
C321,P6,490.03,2023-09-29,Home & Garden
C463,P25,20.15,2023-03-23,Sports
C386,P48,22.53,2023-01-13,Home & Garden
C194,P34,470.0,2023-09-11,Clothing
C55,P44,163.67,2023-06-27,Electronics
C385,P20,294.56,2023-08-19,Clothing
C312,P48,23.3,2023-03-02,Home & Garden
C225,P34,423.34,2023-05-14,Clothing
C109,P7,353.23,2023-11-12,Electronics
C410,P15,409.27,2023-12-28,Electronics
C412,P35,219.09,2023-03-16,Home & Garden
C381,P11,427.47,2023-04-18,Electronics
C306,P46,290.12,2023-06-02,Clothing
C141,P6,423.36,2023-05-15,Home & Garden
C94,P14,369.41,2023-05-14,Sports
C407,P32,398.18,2023-05-14,Clothing
C332,P5,235.13,2023-08-27,Sports
C77,P17,499.25,2023-06-25,Home & Garden
C352,P25,283.15,2023-06-07,Sports
C160,P7,222.67,2023-12-05,Electronics
C83,P32,191.84,2023-08-29,Clothing
C48,P18,383.9,2023-02-21,Home & Garden
C351,P2,23.81,2023-02-15,Sports
C268,P34,223.24,2023-10-04,Clothing
C432,P25,368.02,2023-09-12,Sports
C122,P6,134.6,2023-09-07,Home & Garden
C242,P36,308.7,2023-07-22,Beauty
C500,P24,247.19,2023-06-22,Clothing
C387,P14,130.4,2023-10-05,Sports
C229,P29,446.59,2023-03-10,Electronics
C406,P13,469.04,2023-01-26,Sports
C252,P7,466.52,2023-07-09,Electronics
C401,P8,95.26,2023-06-12,Home & Garden
C378,P30,10.7,2023-08-09,Clothing
C287,P32,50.73,2023-03-25,Clothing
C212,P31,276.04,2023-04-14,Beauty
C30,P50,127.79,2023-04-17,Home & Garden
C262,P19,91.17,2023-11-06,Clothing
C278,P22,265.49,2023-10-24,Electronics
C8,P38,109.77,2023-04-17,Sports
C188,P43,442.93,2023-08-05,Beauty
C389,P19,335.69,2023-08-10,Clothing
C500,P11,304.54,2023-05-31,Electronics
C344,P49,147.7,2023-01-18,Sports
C104,P26,320.77,2023-12-03,Beauty
C184,P20,487.35,2023-01-23,Clothing
C86,P41,483.33,2023-10-03,Beauty
C134,P29,492.71,2023-02-05,Electronics
C301,P15,285.79,2023-03-01,Electronics
C280,P41,345.19,2023-12-12,Beauty
C183,P2,341.84,2023-11-12,Sports
C63,P36,230.29,2023-06-06,Beauty
C376,P25,204.5,2023-06-23,Sports
C192,P14,340.12,2023-12-30,Sports
C178,P35,421.52,2023-03-29,Home & Garden
C311,P24,400.58,2023-08-04,Clothing
C28,P9,311.72,2023-07-15,Sports
C494,P10,117.93,2023-02-16,Electronics
C107,P39,86.86,2023-07-02,Beauty
C3,P47,375.87,2023-09-21,Sports
C449,P31,288.53,2023-07-05,Beauty
C231,P32,199.36,2023-10-05,Clothing
C345,P39,320.82,2023-12-24,Beauty
C482,P12,310.21,2023-10-25,Home & Garden
C58,P7,131.28,2023-11-03,Electronics
C165,P27,229.0,2023-08-09,Electronics
C84,P21,401.88,2023-06-20,Beauty
C295,P39,231.54,2023-03-13,Beauty
C224,P22,363.96,2023-09-19,Electronics
C49,P3,241.33,2023-09-17,Electronics
C408,P35,351.03,2023-09-27,Home & Garden
C296,P42,257.61,2023-07-25,Clothing
C59,P29,150.59,2023-07-25,Electronics
C32,P40,491.09,2023-08-05,Beauty
C450,P32,196.59,2023-09-02,Clothing
C473,P4,406.58,2023-10-27,Electronics
C442,P41,101.7,2023-06-15,Beauty
C422,P3,125.87,2023-02-16,Electronics
C329,P17,262.95,2023-09-23,Home & Garden
C81,P14,476.39,2023-02-23,Sports
C37,P46,45.35,2023-02-28,Clothing
C209,P41,324.41,2023-09-21,Beauty
C10,P21,233.23,2023-10-24,Beauty
C125,P23,388.34,2023-03-02,Home & Garden
C444,P29,381.39,2023-10-10,Electronics
C189,P20,65.18,2023-11-28,Clothing
C3,P19,179.55,2023-03-10,Clothing
C42,P6,104.2,2023-03-29,Home & Garden
C442,P46,446.9,2023-10-11,Clothing
C298,P28,89.56,2023-06-19,Sports
C304,P37,236.93,2023-12-25,Home & Garden
C8,P43,464.23,2023-12-28,Beauty
C37,P16,174.94,2023-10-08,Clothing
C212,P41,96.44,2023-01-06,Beauty
C308,P14,315.12,2023-12-31,Sports
C11,P39,305.12,2023-10-18,Beauty
C443,P22,178.69,2023-01-22,Electronics
C162,P12,478.15,2023-12-12,Home & Garden
C36,P8,81.24,2023-03-14,Home & Garden
C253,P36,64.26,2023-07-18,Beauty
C327,P9,346.78,2023-04-12,Sports
C392,P48,448.97,2023-01-24,Home & Garden
C348,P14,83.0,2023-02-09,Sports
C368,P6,338.54,2023-03-21,Home & Garden
C88,P31,85.92,2023-02-07,Beauty
C159,P14,466.16,2023-02-11,Sports
C451,P39,436.05,2023-09-27,Beauty
C392,P4,164.92,2023-07-30,Electronics
C164,P32,102.09,2023-01-31,Clothing
C1,P43,352.87,2023-10-21,Beauty
C234,P1,145.72,2023-05-01,Home & Garden
C425,P39,99.6,2023-12-30,Beauty
C155,P39,404.69,2023-07-06,Beauty
C452,P48,28.84,2023-01-06,Home & Garden
C113,P24,387.1,2023-09-20,Clothing
C95,P28,434.18,2023-02-15,Sports
C439,P19,190.83,2023-02-16,Clothing
C259,P45,399.05,2023-10-18,Home & Garden
C213,P15,289.78,2023-03-12,Electronics
C463,P14,227.89,2023-10-25,Sports
C191,P1,236.67,2023-02-05,Home & Garden
C70,P22,109.66,2023-12-13,Electronics
C52,P16,47.82,2023-03-14,Clothing
C283,P1,199.07,2023-09-28,Home & Garden
C27,P4,292.44,2023-10-05,Electronics
C270,P35,393.91,2023-11-09,Home & Garden
C243,P25,312.26,2023-09-08,Sports
C257,P43,424.29,2023-08-04,Beauty
C366,P40,184.79,2023-10-01,Beauty
C53,P5,114.35,2023-02-18,Sports
C34,P27,123.38,2023-08-28,Electronics
C466,P15,373.76,2023-07-04,Electronics
C139,P37,365.11,2023-01-31,Home & Garden
C471,P43,449.7,2023-08-12,Beauty
C261,P37,36.9,2023-06-22,Home & Garden
C388,P37,276.31,2023-11-24,Home & Garden
C82,P18,147.26,2023-03-19,Home & Garden
C385,P47,63.5,2023-09-28,Sports
C255,P17,451.61,2023-08-23,Home & Garden
C459,P4,59.19,2023-10-01,Electronics
C389,P12,412.08,2023-10-08,Home & Garden
C401,P40,440.76,2023-01-06,Beauty
C361,P37,401.63,2023-11-21,Home & Garden
C196,P26,352.17,2023-02-11,Beauty
C256,P50,183.62,2023-04-26,Home & Garden
C109,P8,230.77,2023-09-08,Home & Garden
C344,P41,489.47,2023-05-04,Beauty
C364,P22,151.25,2023-07-28,Electronics
C403,P20,116.56,2023-04-01,Clothing
C242,P22,145.4,2023-12-30,Electronics
C330,P20,168.01,2023-04-21,Clothing
C202,P25,432.22,2023-06-04,Sports
C83,P25,17.5,2023-08-18,Sports
C82,P34,466.97,2023-10-24,Clothing
C359,P11,424.23,2023-06-01,Electronics
C211,P15,330.01,2023-08-19,Electronics
C321,P3,314.84,2023-03-23,Electronics
C187,P47,112.44,2023-05-11,Sports
C362,P4,257.21,2023-01-22,Electronics
C314,P34,351.71,2023-11-11,Clothing
C363,P36,74.7,2023-08-16,Beauty
C293,P30,317.62,2023-04-02,Clothing
C322,P26,481.63,2023-11-13,Beauty
C393,P3,306.71,2023-02-28,Electronics
C471,P21,111.31,2023-09-10,Beauty
C307,P22,455.03,2023-01-29,Electronics
C447,P1,49.79,2023-10-30,Home & Garden
C138,P18,431.41,2023-06-28,Home & Garden
C446,P15,281.82,2023-04-17,Electronics
C441,P7,283.8,2023-10-19,Electronics
C208,P48,37.26,2023-08-13,Home & Garden
C316,P21,61.31,2023-06-06,Beauty
C175,P48,369.9,2023-11-27,Home & Garden
C62,P44,326.35,2023-03-28,Electronics
C110,P6,356.96,2023-08-02,Home & Garden
C264,P43,342.49,2023-09-10,Beauty
C59,P5,481.97,2023-03-16,Sports
C60,P13,119.45,2023-12-29,Sports
